dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
437.0,-51.0,3362.0,57.982756057296896,2,437.5
440.0,-69.66666666666667,1436.3333333333333,37.89898855290644,3,440.5
448.0,-61.0,2312.0,48.08326112068523,2,448.5
451.0,-53.5,2812.5,53.033008588991066,2,451.5
456.0,-57.5,1984.5,44.54772721475249,2,456.5
463.0,-61.0,2312.0,48.08326112068523,2,463.5
466.0,-49.5,2812.5,53.033008588991066,2,466.5
470.0,-62.5,1860.5,43.1335136523794,2,470.5
477.0,-53.5,1404.5,37.476659402887016,2,477.5
479.0,-56.5,1200.5,34.64823227814083,2,479.5
480.0,-52.0,3200.0,56.568542494923804,2,480.5
489.0,-51.0,800.0,28.284271247461902,2,489.5
490.0,-54.0,1458.0,38.18376618407357,2,490.5
499.0,-52.0,703.3333333333334,26.520432374554783,4,499.5
501.0,-58.5,1404.5,37.476659402887016,2,501.5
506.0,-42.25,1221.5833333333333,34.95115639479377,4,506.5
516.0,-43.0,300.6666666666667,17.339742404853272,4,516.5
517.0,-39.5,1624.5,40.30508652763321,2,517.5
521.0,-43.5,480.5,21.920310216782973,2,521.5
524.0,-43.0,300.0,17.320508075688775,4,524.5
526.0,-38.5,1512.5,38.890872965260115,2,526.5
527.0,-44.0,450.0,21.213203435596427,2,527.5
528.0,-58.5,1404.5,37.476659402887016,2,528.5
529.0,-45.5,330.3,18.17415747703315,6,529.5
532.0,-44.0,648.0,25.45584412271571,2,532.5
534.0,-44.0,1270.0,35.63705936241092,6,534.5
535.0,-45.0,578.0,24.041630560342615,2,535.5
539.0,-44.166666666666664,1030.9666666666667,32.108669649592564,6,539.5
542.0,-40.0,1568.0,39.59797974644666,2,542.5
543.0,-52.5,1300.5,36.062445840513924,2,543.5
544.0,-55.0,1248.6666666666667,35.33647784749729,4,544.5
548.0,-53.25,1402.9166666666667,37.45552918684592,4,548.5
553.0,-51.5,2964.5,54.44722215136416,2,553.5
554.0,-58.5,1740.5,41.71930009000631,2,554.5
561.0,-60.5,1512.5,38.890872965260115,2,561.5
562.0,-51.0,3042.0,55.154328932550705,2,562.5
563.0,-60.5,1200.5,34.64823227814083,2,563.5
569.0,-59.5,1624.5,40.30508652763321,2,569.5
574.0,-51.0,3042.0,55.154328932550705,2,574.5
579.0,-59.0,1682.0,41.012193308819754,2,579.5
587.0,-50.5,3120.5,55.86143571373726,2,587.5
604.0,-47.0,1261.0,35.510561809129406,3,604.5
618.0,-12.0,0.0,0.0,1,618.5
626.0,-25.0,0.0,0.0,1,626.5
636.0,-13.0,0.0,0.0,1,636.5
648.0,-25.0,0.0,0.0,1,648.5
653.0,-16.0,0.0,0.0,1,653.5
654.0,-26.0,0.0,0.0,1,654.5
670.0,-23.0,0.0,0.0,1,670.5
671.0,-25.0,0.0,0.0,1,671.5
672.0,-13.0,0.0,0.0,1,672.5
690.0,-13.0,0.0,0.0,1,690.5
693.0,-23.0,0.0,0.0,1,693.5
706.0,-28.0,0.0,0.0,1,706.5
717.0,-20.0,0.0,0.0,2,717.5
724.0,-27.0,0.0,0.0,1,724.5
728.0,-15.0,0.0,0.0,1,728.5
742.0,-28.0,0.0,0.0,1,742.5
748.0,-15.0,0.0,0.0,1,748.5
770.0,-24.0,0.0,0.0,1,770.5
790.0,-14.0,0.0,0.0,1,790.5
792.0,-21.75,2.25,1.5,4,792.5
797.0,-25.0,0.0,0.0,1,797.5
809.0,-14.0,0.0,0.0,1,809.5
813.0,-27.0,0.0,0.0,1,813.5
